Study,Ass,Rep,Comp,SSR,r,Correct,repPERass,CompPERass,CompPERrep
Pollitt (n.d.)l,29,700,4436,0.97,0.86,0.86,24.13793103,152.9655172,6.337142857
Pollitt (n.d.)m,20,320,1610,0.95,0.78,0.88,16,80.5,5.03125
Pollitt (n.d.)n,20,320,1621,0.95,0.78,0.88,16,81.05,5.065625
Pollitt (n.d.)o,20,320,1631,0.96,0.82,0.89,16,81.55,5.096875
Ramos et al. (2021)a,16,9,320,0.95,0.87,0.83,0.5625,20,35.55555556
Ramos et al. (2021)b,22,9,440,0.96,0.9,0.76,0.409090909,20,48.88888889
Sangwin & Kinnear (2021)a,29,13,454,0.89,0.73,0.72,0.448275862,15.65517241,34.92307692
Sangwin & Kinnear (2021)b,24,13,438,0.95,0.9,0.79,0.541666667,18.25,33.69230769
Sangwin & Kinnear (2021)c,25,15,438,0.72,0.44,0.64,0.6,17.52,29.2
Sangwin & Kinnear (2021)d,23,15,382,0.92,0.86,0.8,0.652173913,16.60869565,25.46666667
Sangwin & Kinnear (2021)e,39,15,636,0.94,0.88,0.75,0.384615385,16.30769231,42.4
Sangwin & Kinnear (2021)f,32,15,526,0.91,0.82,0.74,0.46875,16.4375,35.06666667
Sangwin & Kinnear (2021)g,34,15,611,0.84,0.67,0.68,0.441176471,17.97058824,40.73333333
Settembri et al. (2018),4,84,622,0.73,0.45,0.76,21,155.5,7.404761905
Smith (2020),5,15,388,0.93,0.72,0.8,3,77.6,25.86666667
Spehar et al. (2016)a,50,9,3600,0.89,0.51,0.57,0.18,72,400
Spehar et al. (2016)b,50,9,3600,0.98,0.91,0.67,0.18,72,400
Spehar et al. (2016)c,50,9,3600,0.94,0.69,0.6,0.18,72,400
Spehar et al. (2016)d,50,9,3600,0.85,0.41,0.56,0.18,72,400
Spehar et al. (2016)e,50,9,3600,0.94,0.72,0.59,0.18,72,400
Stadthagen-Gonzalez et al. (2019)a,40,20,1200,0.94,0.92,0.76,0.5,30,60
Stadthagen-Gonzalez et al. (2019)b,40,20,1200,0.89,0.87,0.66,0.5,30,60
Vanderdonckt et al. (2019),108,49,4056,0.95,0.87,0.7,0.453703704,37.55555556,82.7755102
Vatavu & Vanderdonckt (2020),251,14,6595,0.99,0.96,0.68,0.055776892,26.2749004,471.0714286
Zucco et al. (2019)a,283,37,3101,0.98,0.95,0.68,0.130742049,10.95759717,83.81081081
Zucco et al. (2019b,140,37,560,0.8,0.54,0.69,0.264285714,4,15.13513514
max,4028,2150,246692,0.99,0.98,0.96,61.42857143,1000,1606.5
min,4,3,140,0.51,0.25,0.56,0.017429194,3,4.809333333
median,22,40,1200,0.9,0.78,0.78,1.68,42,16
mode,10,20,3600,0.95,0.72,0.76,0.18,20,400
