judge,candidate_chosen,candidate_not_chosen
A21DXSGSWBT3UT,B1,C1
A21DXSGSWBT3UT,B2,C2
A21DXSGSWBT3UT,C3,B3
A21DXSGSWBT3UT,B4,C4
A21DXSGSWBT3UT,B5,C5
A21DXSGSWBT3UT,D1,B1
A21DXSGSWBT3UT,D2,B2
A21DXSGSWBT3UT,D3,B3
A21DXSGSWBT3UT,D4,B4
A21DXSGSWBT3UT,D5,B5
A21DXSGSWBT3UT,D1,C1
A21DXSGSWBT3UT,D2,C2
A21DXSGSWBT3UT,C3,D3
A21DXSGSWBT3UT,D4,C4
A21DXSGSWBT3UT,D5,C5
A23Y6SGE73H4IW,A1,B1
A23Y6SGE73H4IW,B2,A2
A23Y6SGE73H4IW,B3,A3
A23Y6SGE73H4IW,B4,A4
A23Y6SGE73H4IW,B5,A5
A23Y6SGE73H4IW,A1,C1
A23Y6SGE73H4IW,A2,C2
A23Y6SGE73H4IW,C3,A3
A23Y6SGE73H4IW,A4,C4
A23Y6SGE73H4IW,A5,C5
A23Y6SGE73H4IW,D1,A1
A23Y6SGE73H4IW,D2,A2
A23Y6SGE73H4IW,D3,A3
A23Y6SGE73H4IW,D4,A4
A23Y6SGE73H4IW,D5,A5
A23Y6SGE73H4IW,B1,C1
A23Y6SGE73H4IW,B2,C2
A23Y6SGE73H4IW,B3,C3
A23Y6SGE73H4IW,B4,C4
A23Y6SGE73H4IW,B5,C5
A23Y6SGE73H4IW,D1,B1
A23Y6SGE73H4IW,D2,B2
A23Y6SGE73H4IW,D3,B3
A23Y6SGE73H4IW,B4,D4
A23Y6SGE73H4IW,D5,B5
A23Y6SGE73H4IW,D1,C1
A23Y6SGE73H4IW,D2,C2
A23Y6SGE73H4IW,D3,C3
A23Y6SGE73H4IW,D4,C4
A23Y6SGE73H4IW,D5,C5
A27CNO4K5K6V5R,A1,B1
A27CNO4K5K6V5R,B2,A2
A27CNO4K5K6V5R,B3,A3
A27CNO4K5K6V5R,A4,B4
A27CNO4K5K6V5R,B5,A5
A27CNO4K5K6V5R,A1,C1
A27CNO4K5K6V5R,A2,C2
A27CNO4K5K6V5R,C3,A3
A27CNO4K5K6V5R,A4,C4
A27CNO4K5K6V5R,A5,C5
A27CNO4K5K6V5R,D1,A1
A27CNO4K5K6V5R,D2,A2
A27CNO4K5K6V5R,D3,A3
A27CNO4K5K6V5R,A4,D4
A27CNO4K5K6V5R,D5,A5
A27CNO4K5K6V5R,C1,B1
A27CNO4K5K6V5R,B2,C2
A27CNO4K5K6V5R,B3,C3
A27CNO4K5K6V5R,C4,B4
A27CNO4K5K6V5R,B5,C5
A27CNO4K5K6V5R,D1,B1
A27CNO4K5K6V5R,B2,D2
A27CNO4K5K6V5R,B3,D3
A27CNO4K5K6V5R,D4,B4
A27CNO4K5K6V5R,D5,B5
A27CNO4K5K6V5R,D1,C1
A27CNO4K5K6V5R,D2,C2
A27CNO4K5K6V5R,D3,C3
A27CNO4K5K6V5R,D4,C4
A27CNO4K5K6V5R,D5,C5
A2KJE7WCD87K0E,A1,B1
A2KJE7WCD87K0E,A2,B2
A2KJE7WCD87K0E,A3,B3
A2KJE7WCD87K0E,A4,B4
A2KJE7WCD87K0E,A5,B5
A2KJE7WCD87K0E,C1,A1
A2KJE7WCD87K0E,A2,C2
A2KJE7WCD87K0E,A3,C3
A2KJE7WCD87K0E,A4,C4
A2KJE7WCD87K0E,C5,A5
A2KJE7WCD87K0E,D1,A1
A2KJE7WCD87K0E,A2,D2
A2KJE7WCD87K0E,D3,A3
A2KJE7WCD87K0E,A4,D4
A2KJE7WCD87K0E,A5,D5
A2KJE7WCD87K0E,B1,C1
A2KJE7WCD87K0E,B2,C2
A2KJE7WCD87K0E,B3,C3
A2KJE7WCD87K0E,B4,C4
A2KJE7WCD87K0E,B5,C5
A2KJE7WCD87K0E,D1,B1
A2KJE7WCD87K0E,D2,B2
A2KJE7WCD87K0E,B3,D3
A2KJE7WCD87K0E,B4,D4
A2KJE7WCD87K0E,D5,B5
A2KJE7WCD87K0E,D1,C1
A2KJE7WCD87K0E,D2,C2
A2KJE7WCD87K0E,D3,C3
A2KJE7WCD87K0E,D4,C4
A2KJE7WCD87K0E,C5,D5
A2M2UDFQF6PFGP,A1,B1
A2M2UDFQF6PFGP,A2,B2
A2M2UDFQF6PFGP,A3,B3
A2M2UDFQF6PFGP,A4,B4
A2M2UDFQF6PFGP,B5,A5
A2M2UDFQF6PFGP,A1,C1
A2M2UDFQF6PFGP,A2,C2
A2M2UDFQF6PFGP,A3,C3
A2M2UDFQF6PFGP,A4,C4
A2M2UDFQF6PFGP,A5,C5
A2M2UDFQF6PFGP,D1,A1
A2M2UDFQF6PFGP,D2,A2
A2M2UDFQF6PFGP,D3,A3
A2M2UDFQF6PFGP,D4,A4
A2M2UDFQF6PFGP,D5,A5
A2M2UDFQF6PFGP,B1,C1
A2M2UDFQF6PFGP,B2,C2
A2M2UDFQF6PFGP,B3,C3
A2M2UDFQF6PFGP,B4,C4
A2M2UDFQF6PFGP,B5,C5
A2M2UDFQF6PFGP,D1,B1
A2M2UDFQF6PFGP,D2,B2
A2M2UDFQF6PFGP,D3,B3
A2M2UDFQF6PFGP,D4,B4
A2M2UDFQF6PFGP,D5,B5
A2M2UDFQF6PFGP,D1,C1
A2M2UDFQF6PFGP,D2,C2
A2M2UDFQF6PFGP,D3,C3
A2M2UDFQF6PFGP,D4,C4
A2M2UDFQF6PFGP,D5,C5
A2RYN1S6OSO9KX,A1,B1
A2RYN1S6OSO9KX,B2,A2
A2RYN1S6OSO9KX,B3,A3
A2RYN1S6OSO9KX,B4,A4
A2RYN1S6OSO9KX,B5,A5
A2RYN1S6OSO9KX,A1,C1
A2RYN1S6OSO9KX,A2,C2
A2RYN1S6OSO9KX,A3,C3
A2RYN1S6OSO9KX,A4,C4
A2RYN1S6OSO9KX,A5,C5
A2RYN1S6OSO9KX,A1,D1
A2RYN1S6OSO9KX,A2,D2
A2RYN1S6OSO9KX,D3,A3
A2RYN1S6OSO9KX,A4,D4
A2RYN1S6OSO9KX,D5,A5
A2RYN1S6OSO9KX,B1,C1
A2RYN1S6OSO9KX,B2,C2
A2RYN1S6OSO9KX,B3,C3
A2RYN1S6OSO9KX,B4,C4
A2RYN1S6OSO9KX,B5,C5
A2RYN1S6OSO9KX,D1,B1
A2RYN1S6OSO9KX,B2,D2
A2RYN1S6OSO9KX,D3,B3
A2RYN1S6OSO9KX,B4,D4
A2RYN1S6OSO9KX,D5,B5
A2RYN1S6OSO9KX,D1,C1
A2RYN1S6OSO9KX,D2,C2
A2RYN1S6OSO9KX,D3,C3
A2RYN1S6OSO9KX,D4,C4
A2RYN1S6OSO9KX,D5,C5
A2SVIKSS9JTQZY,A1,B1
A2SVIKSS9JTQZY,A2,B2
A2SVIKSS9JTQZY,A3,B3
A2SVIKSS9JTQZY,A4,B4
A2SVIKSS9JTQZY,B5,A5
A2SVIKSS9JTQZY,A1,C1
A2SVIKSS9JTQZY,A2,C2
A2SVIKSS9JTQZY,A3,C3
A2SVIKSS9JTQZY,A4,C4
A2SVIKSS9JTQZY,A5,C5
A2SVIKSS9JTQZY,D1,A1
A2SVIKSS9JTQZY,D2,A2
A2SVIKSS9JTQZY,D3,A3
A2SVIKSS9JTQZY,A4,D4
A2SVIKSS9JTQZY,A5,D5
A2SVIKSS9JTQZY,B1,C1
A2SVIKSS9JTQZY,B2,C2
A2SVIKSS9JTQZY,B3,C3
A2SVIKSS9JTQZY,B4,C4
A2SVIKSS9JTQZY,B5,C5
A2SVIKSS9JTQZY,D1,B1
A2SVIKSS9JTQZY,D2,B2
A2SVIKSS9JTQZY,D3,B3
A2SVIKSS9JTQZY,D4,B4
A2SVIKSS9JTQZY,D5,B5
A2SVIKSS9JTQZY,D1,C1
A2SVIKSS9JTQZY,D2,C2
A2SVIKSS9JTQZY,D3,C3
A2SVIKSS9JTQZY,D4,C4
A2SVIKSS9JTQZY,D5,C5
A35FCLBUROQO2Y,B1,A1
A35FCLBUROQO2Y,B2,A2
A35FCLBUROQO2Y,B3,A3
A35FCLBUROQO2Y,B4,A4
A35FCLBUROQO2Y,B5,A5
A35FCLBUROQO2Y,C1,A1
A35FCLBUROQO2Y,C2,A2
A35FCLBUROQO2Y,C3,A3
A35FCLBUROQO2Y,A4,C4
A35FCLBUROQO2Y,A5,C5
A35FCLBUROQO2Y,D1,A1
A35FCLBUROQO2Y,D2,A2
A35FCLBUROQO2Y,D3,A3
A35FCLBUROQO2Y,A4,D4
A35FCLBUROQO2Y,D5,A5
A35FCLBUROQO2Y,C1,B1
A35FCLBUROQO2Y,B2,C2
A35FCLBUROQO2Y,B3,C3
A35FCLBUROQO2Y,B4,C4
A35FCLBUROQO2Y,B5,C5
A35FCLBUROQO2Y,D1,B1
A35FCLBUROQO2Y,D2,B2
A35FCLBUROQO2Y,D3,B3
A35FCLBUROQO2Y,B4,D4
A35FCLBUROQO2Y,B5,D5
A35FCLBUROQO2Y,D1,C1
A35FCLBUROQO2Y,D2,C2
A35FCLBUROQO2Y,C3,D3
A35FCLBUROQO2Y,D4,C4
A35FCLBUROQO2Y,D5,C5
A36986JXRJMO7H,B1,A1
A36986JXRJMO7H,B2,A2
A36986JXRJMO7H,B3,A3
A36986JXRJMO7H,A4,B4
A36986JXRJMO7H,B5,A5
A36986JXRJMO7H,A1,C1
A36986JXRJMO7H,A2,C2
A36986JXRJMO7H,A3,C3
A36986JXRJMO7H,C4,A4
A36986JXRJMO7H,A5,C5
A36986JXRJMO7H,A1,D1
A36986JXRJMO7H,D2,A2
A36986JXRJMO7H,D3,A3
A36986JXRJMO7H,A4,D4
A36986JXRJMO7H,D5,A5
A36986JXRJMO7H,B1,C1
A36986JXRJMO7H,C2,B2
A36986JXRJMO7H,B3,C3
A36986JXRJMO7H,B4,C4
A36986JXRJMO7H,B5,C5
A36986JXRJMO7H,B1,D1
A36986JXRJMO7H,D2,B2
A36986JXRJMO7H,B3,D3
A36986JXRJMO7H,D4,B4
A36986JXRJMO7H,B5,D5
A36986JXRJMO7H,D1,C1
A36986JXRJMO7H,D2,C2
A36986JXRJMO7H,C3,D3
A36986JXRJMO7H,D4,C4
A36986JXRJMO7H,D5,C5
A3O0FLHVVH2HFT,A1,B1
A3O0FLHVVH2HFT,B2,A2
A3O0FLHVVH2HFT,B3,A3
A3O0FLHVVH2HFT,B4,A4
A3O0FLHVVH2HFT,B5,A5
A3O0FLHVVH2HFT,A1,C1
A3O0FLHVVH2HFT,A2,C2
A3O0FLHVVH2HFT,C3,A3
A3O0FLHVVH2HFT,A4,C4
A3O0FLHVVH2HFT,A5,C5
A3O0FLHVVH2HFT,D1,A1
A3O0FLHVVH2HFT,D2,A2
A3O0FLHVVH2HFT,D3,A3
A3O0FLHVVH2HFT,D4,A4
A3O0FLHVVH2HFT,D5,A5
A3O0FLHVVH2HFT,B1,C1
A3O0FLHVVH2HFT,B2,C2
A3O0FLHVVH2HFT,B3,C3
A3O0FLHVVH2HFT,B4,C4
A3O0FLHVVH2HFT,B5,C5
A3O0FLHVVH2HFT,D1,B1
A3O0FLHVVH2HFT,B2,D2
A3O0FLHVVH2HFT,D3,B3
A3O0FLHVVH2HFT,B4,D4
A3O0FLHVVH2HFT,D5,B5
A3O0FLHVVH2HFT,D1,C1
A3O0FLHVVH2HFT,D2,C2
A3O0FLHVVH2HFT,D3,C3
A3O0FLHVVH2HFT,D4,C4
A3O0FLHVVH2HFT,D5,C5
A3TYT34E6ENOZZ,A1,B1
A3TYT34E6ENOZZ,A2,B2
A3TYT34E6ENOZZ,A3,B3
A3TYT34E6ENOZZ,A4,B4
A3TYT34E6ENOZZ,A5,B5
A3TYT34E6ENOZZ,C1,A1
A3TYT34E6ENOZZ,A2,C2
A3TYT34E6ENOZZ,A3,C3
A3TYT34E6ENOZZ,A4,C4
A3TYT34E6ENOZZ,A5,C5
A3TYT34E6ENOZZ,D1,A1
A3TYT34E6ENOZZ,D2,A2
A3TYT34E6ENOZZ,D3,A3
A3TYT34E6ENOZZ,D4,A4
A3TYT34E6ENOZZ,A5,D5
A3TYT34E6ENOZZ,C1,B1
A3TYT34E6ENOZZ,B2,C2
A3TYT34E6ENOZZ,B3,C3
A3TYT34E6ENOZZ,B4,C4
A3TYT34E6ENOZZ,B5,C5
A3TYT34E6ENOZZ,D1,B1
A3TYT34E6ENOZZ,D2,B2
A3TYT34E6ENOZZ,D3,B3
A3TYT34E6ENOZZ,D4,B4
A3TYT34E6ENOZZ,D5,B5
A3TYT34E6ENOZZ,D1,C1
A3TYT34E6ENOZZ,D2,C2
A3TYT34E6ENOZZ,D3,C3
A3TYT34E6ENOZZ,D4,C4
A3TYT34E6ENOZZ,D5,C5
A5BMKZRGHNSRT,A1,B1
A5BMKZRGHNSRT,B2,A2
A5BMKZRGHNSRT,A3,B3
A5BMKZRGHNSRT,A4,B4
A5BMKZRGHNSRT,B5,A5
A5BMKZRGHNSRT,A1,C1
A5BMKZRGHNSRT,A2,C2
A5BMKZRGHNSRT,A3,C3
A5BMKZRGHNSRT,A4,C4
A5BMKZRGHNSRT,A5,C5
A5BMKZRGHNSRT,A1,D1
A5BMKZRGHNSRT,D2,A2
A5BMKZRGHNSRT,D3,A3
A5BMKZRGHNSRT,D4,A4
A5BMKZRGHNSRT,D5,A5
A5BMKZRGHNSRT,B1,C1
A5BMKZRGHNSRT,B2,C2
A5BMKZRGHNSRT,B3,C3
A5BMKZRGHNSRT,B4,C4
A5BMKZRGHNSRT,B5,C5
A5BMKZRGHNSRT,B1,D1
A5BMKZRGHNSRT,D2,B2
A5BMKZRGHNSRT,D3,B3
A5BMKZRGHNSRT,D4,B4
A5BMKZRGHNSRT,D5,B5
A5BMKZRGHNSRT,C1,D1
A5BMKZRGHNSRT,D2,C2
A5BMKZRGHNSRT,D3,C3
A5BMKZRGHNSRT,C4,D4
A5BMKZRGHNSRT,D5,C5
AMX1C6N0OHJDZ,B1,A1
AMX1C6N0OHJDZ,A2,B2
AMX1C6N0OHJDZ,B3,A3
AMX1C6N0OHJDZ,A4,B4
AMX1C6N0OHJDZ,A5,B5
AMX1C6N0OHJDZ,C1,A1
AMX1C6N0OHJDZ,A2,C2
AMX1C6N0OHJDZ,C3,A3
AMX1C6N0OHJDZ,A4,C4
AMX1C6N0OHJDZ,A5,C5
AMX1C6N0OHJDZ,A1,D1
AMX1C6N0OHJDZ,D2,A2
AMX1C6N0OHJDZ,D3,A3
AMX1C6N0OHJDZ,A4,D4
AMX1C6N0OHJDZ,A5,D5
AMX1C6N0OHJDZ,C1,B1
AMX1C6N0OHJDZ,B2,C2
AMX1C6N0OHJDZ,C3,B3
AMX1C6N0OHJDZ,B4,C4
AMX1C6N0OHJDZ,B5,C5
AMX1C6N0OHJDZ,D1,B1
AMX1C6N0OHJDZ,B2,D2
AMX1C6N0OHJDZ,D3,B3
AMX1C6N0OHJDZ,D4,B4
AMX1C6N0OHJDZ,D5,B5
AMX1C6N0OHJDZ,D1,C1
AMX1C6N0OHJDZ,D2,C2
AMX1C6N0OHJDZ,D3,C3
AMX1C6N0OHJDZ,D4,C4
AMX1C6N0OHJDZ,D5,C5
AOLE6YAPCVY1Z,A1,B1
AOLE6YAPCVY1Z,A2,B2
AOLE6YAPCVY1Z,B3,A3
AOLE6YAPCVY1Z,B4,A4
AOLE6YAPCVY1Z,B5,A5
AOLE6YAPCVY1Z,C1,A1
AOLE6YAPCVY1Z,A2,C2
AOLE6YAPCVY1Z,A3,C3
AOLE6YAPCVY1Z,C4,A4
AOLE6YAPCVY1Z,A5,C5
AOLE6YAPCVY1Z,D1,A1
AOLE6YAPCVY1Z,D2,A2
AOLE6YAPCVY1Z,D3,A3
AOLE6YAPCVY1Z,D4,A4
AOLE6YAPCVY1Z,A5,D5
AOLE6YAPCVY1Z,C1,B1
AOLE6YAPCVY1Z,B2,C2
AOLE6YAPCVY1Z,B3,C3
AOLE6YAPCVY1Z,C4,B4
AOLE6YAPCVY1Z,B5,C5
AOLE6YAPCVY1Z,D1,B1
AOLE6YAPCVY1Z,D2,B2
AOLE6YAPCVY1Z,B3,D3
AOLE6YAPCVY1Z,D4,B4
AOLE6YAPCVY1Z,D5,B5
AOLE6YAPCVY1Z,D1,C1
AOLE6YAPCVY1Z,D2,C2
AOLE6YAPCVY1Z,D3,C3
AOLE6YAPCVY1Z,D4,C4
AOLE6YAPCVY1Z,D5,C5
AOZEFNB3Y89E0,A1,B1
AOZEFNB3Y89E0,B2,A2
AOZEFNB3Y89E0,B3,A3
AOZEFNB3Y89E0,A4,B4
AOZEFNB3Y89E0,B5,A5
AOZEFNB3Y89E0,C1,A1
AOZEFNB3Y89E0,C2,A2
AOZEFNB3Y89E0,C3,A3
AOZEFNB3Y89E0,A4,C4
AOZEFNB3Y89E0,A5,C5
AOZEFNB3Y89E0,D1,A1
AOZEFNB3Y89E0,D2,A2
AOZEFNB3Y89E0,D3,A3
AOZEFNB3Y89E0,A4,D4
AOZEFNB3Y89E0,D5,A5
AOZEFNB3Y89E0,C1,B1
AOZEFNB3Y89E0,B2,C2
AOZEFNB3Y89E0,B3,C3
AOZEFNB3Y89E0,B4,C4
AOZEFNB3Y89E0,B5,C5
AOZEFNB3Y89E0,D1,B1
AOZEFNB3Y89E0,D2,B2
AOZEFNB3Y89E0,D3,B3
AOZEFNB3Y89E0,D4,B4
AOZEFNB3Y89E0,D5,B5
AOZEFNB3Y89E0,D1,C1
AOZEFNB3Y89E0,D2,C2
AOZEFNB3Y89E0,D3,C3
AOZEFNB3Y89E0,D4,C4
AOZEFNB3Y89E0,D5,C5
AQ70TOUEYR6LI,A1,B1
AQ70TOUEYR6LI,B2,A2
AQ70TOUEYR6LI,B3,A3
AQ70TOUEYR6LI,A4,B4
AQ70TOUEYR6LI,B5,A5
AQ70TOUEYR6LI,C1,A1
AQ70TOUEYR6LI,C2,A2
AQ70TOUEYR6LI,C3,A3
AQ70TOUEYR6LI,A4,C4
AQ70TOUEYR6LI,C5,A5
AQ70TOUEYR6LI,D1,A1
AQ70TOUEYR6LI,D2,A2
AQ70TOUEYR6LI,D3,A3
AQ70TOUEYR6LI,D4,A4
AQ70TOUEYR6LI,D5,A5
AQ70TOUEYR6LI,C1,B1
AQ70TOUEYR6LI,C2,B2
AQ70TOUEYR6LI,B3,C3
AQ70TOUEYR6LI,B4,C4
AQ70TOUEYR6LI,B5,C5
AQ70TOUEYR6LI,D1,B1
AQ70TOUEYR6LI,D2,B2
AQ70TOUEYR6LI,D3,B3
AQ70TOUEYR6LI,D4,B4
AQ70TOUEYR6LI,D5,B5
AQ70TOUEYR6LI,D1,C1
AQ70TOUEYR6LI,D2,C2
AQ70TOUEYR6LI,D3,C3
AQ70TOUEYR6LI,D4,C4
AQ70TOUEYR6LI,D5,C5
AT3C00TKZK13L,A1,B1
AT3C00TKZK13L,A2,B2
AT3C00TKZK13L,B3,A3
AT3C00TKZK13L,B4,A4
AT3C00TKZK13L,A5,B5
AT3C00TKZK13L,A1,C1
AT3C00TKZK13L,C2,A2
AT3C00TKZK13L,C3,A3
AT3C00TKZK13L,A4,C4
AT3C00TKZK13L,A5,C5
AT3C00TKZK13L,A1,D1
AT3C00TKZK13L,A2,D2
AT3C00TKZK13L,D3,A3
AT3C00TKZK13L,A4,D4
AT3C00TKZK13L,A5,D5
AT3C00TKZK13L,B1,C1
AT3C00TKZK13L,B2,C2
AT3C00TKZK13L,B3,C3
AT3C00TKZK13L,B4,C4
AT3C00TKZK13L,B5,C5
AT3C00TKZK13L,B1,D1
AT3C00TKZK13L,B2,D2
AT3C00TKZK13L,B3,D3
AT3C00TKZK13L,B4,D4
AT3C00TKZK13L,B5,D5
AT3C00TKZK13L,D1,C1
AT3C00TKZK13L,D2,C2
AT3C00TKZK13L,D3,C3
AT3C00TKZK13L,D4,C4
AT3C00TKZK13L,D5,C5
A1159EV0HX7QLZ,B1,A1
A1159EV0HX7QLZ,A2,B2
A1159EV0HX7QLZ,B3,A3
A1159EV0HX7QLZ,A4,B4
A1159EV0HX7QLZ,A5,B5
A1159EV0HX7QLZ,C1,A1
A1159EV0HX7QLZ,A2,C2
A1159EV0HX7QLZ,C3,A3
A1159EV0HX7QLZ,C4,A4
A1159EV0HX7QLZ,A5,C5
A1159EV0HX7QLZ,D1,A1
A1159EV0HX7QLZ,A2,D2
A1159EV0HX7QLZ,D3,A3
A1159EV0HX7QLZ,A4,D4
A1159EV0HX7QLZ,D5,A5
A1159EV0HX7QLZ,C1,B1
A1159EV0HX7QLZ,B2,C2
A1159EV0HX7QLZ,C3,B3
A1159EV0HX7QLZ,B4,C4
A1159EV0HX7QLZ,B5,C5
A1159EV0HX7QLZ,D1,B1
A1159EV0HX7QLZ,B2,D2
A1159EV0HX7QLZ,B3,D3
A1159EV0HX7QLZ,B4,D4
A1159EV0HX7QLZ,D5,B5
A1159EV0HX7QLZ,C1,D1
A1159EV0HX7QLZ,D2,C2
A1159EV0HX7QLZ,C3,D3
A1159EV0HX7QLZ,D4,C4
A1159EV0HX7QLZ,C5,D5
A19C9CH8D9IL5O,A1,B1
A19C9CH8D9IL5O,B2,A2
A19C9CH8D9IL5O,B3,A3
A19C9CH8D9IL5O,A4,B4
A19C9CH8D9IL5O,B5,A5
A19C9CH8D9IL5O,A1,C1
A19C9CH8D9IL5O,C2,A2
A19C9CH8D9IL5O,C3,A3
A19C9CH8D9IL5O,A4,C4
A19C9CH8D9IL5O,A5,C5
A19C9CH8D9IL5O,D1,A1
A19C9CH8D9IL5O,D2,A2
A19C9CH8D9IL5O,D3,A3
A19C9CH8D9IL5O,D4,A4
A19C9CH8D9IL5O,D5,A5
A19C9CH8D9IL5O,B1,C1
A19C9CH8D9IL5O,B2,C2
A19C9CH8D9IL5O,C3,B3
A19C9CH8D9IL5O,C4,B4
A19C9CH8D9IL5O,B5,C5
A19C9CH8D9IL5O,D1,B1
A19C9CH8D9IL5O,D2,B2
A19C9CH8D9IL5O,D3,B3
A19C9CH8D9IL5O,D4,B4
A19C9CH8D9IL5O,D5,B5
A19C9CH8D9IL5O,D1,C1
A19C9CH8D9IL5O,D2,C2
A19C9CH8D9IL5O,D3,C3
A19C9CH8D9IL5O,D4,C4
A19C9CH8D9IL5O,D5,C5
A19KF02ULCISTQ,B1,A1
A19KF02ULCISTQ,B2,A2
A19KF02ULCISTQ,B3,A3
A19KF02ULCISTQ,B4,A4
A19KF02ULCISTQ,B5,A5
A19KF02ULCISTQ,C1,A1
A19KF02ULCISTQ,A2,C2
A19KF02ULCISTQ,C3,A3
A19KF02ULCISTQ,C4,A4
A19KF02ULCISTQ,C5,A5
A19KF02ULCISTQ,D1,A1
A19KF02ULCISTQ,D2,A2
A19KF02ULCISTQ,D3,A3
A19KF02ULCISTQ,D4,A4
A19KF02ULCISTQ,D5,A5
A19KF02ULCISTQ,B1,C1
A19KF02ULCISTQ,B2,C2
A19KF02ULCISTQ,B3,C3
A19KF02ULCISTQ,B4,C4
A19KF02ULCISTQ,B5,C5
A19KF02ULCISTQ,D1,B1
A19KF02ULCISTQ,D2,B2
A19KF02ULCISTQ,B3,D3
A19KF02ULCISTQ,B4,D4
A19KF02ULCISTQ,D5,B5
A19KF02ULCISTQ,D1,C1
A19KF02ULCISTQ,D2,C2
A19KF02ULCISTQ,D3,C3
A19KF02ULCISTQ,D4,C4
A19KF02ULCISTQ,D5,C5
A1K9IEWJZCN94V,A1,B1
A1K9IEWJZCN94V,A2,B2
A1K9IEWJZCN94V,B3,A3
A1K9IEWJZCN94V,A4,B4
A1K9IEWJZCN94V,A5,B5
A1K9IEWJZCN94V,A1,C1
A1K9IEWJZCN94V,A2,C2
A1K9IEWJZCN94V,A3,C3
A1K9IEWJZCN94V,A4,C4
