"comparison","objectA","objectB","selected_at","completed","selected_object","judgement_time","task_diff","task_diff_duration","comparative_feedback","feedback_duration","total_duration","assessorR"
346,"E5","I11","2/09/2015 19:36",1,"E5",270,6,"4","heel moeilijk om dat ze beeldend zo anders zijn... en a is wel 'knullig' getekend, maar er is wel echt naar compositie gekeken, niet alleen naar 'de jurk'. en dan vind ik m beter qua compositie dan de andere, die volgens mij veel toevalliger is.",68,342,"assessor03"
347,"J15","A18","2/09/2015 19:38",1,"J15",23,3,"7","beiden twee beelden, vergelijking, maar a zelf getekend",17,47,"assessor03"
348,"A16","A18","2/09/2015 19:39",1,"A18",57,4,"6","vergelijking is genoeg. hoeft geen tekst bij. bij a wel.",14,77,"assessor03"
349,"A11","I10","2/09/2015 19:40",1,"I10",18,1,"8","",3,29,"assessor03"
350,"E22","G3","2/09/2015 19:41",1,"G3",53,4,"6","beide idee-pagina's, maar rechts meer nagedacht over de gehele vormgeving",22,81,"assessor03"
351,"ca4b73cfbaf430ee72a8faf80734c750","1b2bf88d0cf06c8dfb2d58e0b4579f35","2/09/2015 19:42",1,"ca4b73cfbaf430ee72a8faf80734c750",14,3,"4","sferisch",9,27,"assessor03"
352,"C9","H19","2/09/2015 19:42",1,"H19",22,3,"4","eigen beelden",5,31,"assessor03"
353,"A13","E8","2/09/2015 19:43",1,"A13",57,3,"4","krachtig",9,70,"assessor03"
354,"F18","K22","2/09/2015 19:44",1,"F18",23,3,"2","compositorisch, materialen",13,38,"assessor03"
355,"F15","G1","2/09/2015 19:45",1,"F15",30,2,"3","is gewoon beeldender",6,39,"assessor03"
356,"5eee9f0e60b7c6c9717def7892237bb6","H4","2/09/2015 19:46",1,"5eee9f0e60b7c6c9717def7892237bb6",45,6,"6","van zelfde persoon dus beeldend heel dicht bij elkaar... ik denk dat mijn keuze hier heel persoonlijk is.Ik vind de jurk bij a gewoon leuker en de opmaak van het blad mooier.",58,109,"assessor03"
357,"J7","A12","2/09/2015 19:48",1,"A12",48,3,"3","krachtig! (en net dat zinnetje er boven doorgekrast vind ik erg mooi)",24,75,"assessor03"
358,"4316da0280389031ec4fde76dcb58b10","J5","2/09/2015 19:49",1,"4316da0280389031ec4fde76dcb58b10",51,6,"6","",2,59,"assessor03"
359,"5d8bc2a5aaf9041890e730414a34b0af","E27","2/09/2015 19:50",1,"5d8bc2a5aaf9041890e730414a34b0af",21,2,"7","krachtig",4,32,"assessor03"
360,"C9","C12","2/09/2015 19:51",1,"C9",43,6,"5","moeilijk, want eigenlijk ga ik vooral voor het beeld van obama en de transistorradio. Het verbinden van een foto met een tekening is beeldend een stap die de leerling bewust heeft genomen en een totaal nieuw beeld en inhoud kan oproepen. ook hier vind ik. (maar de tekening van b is eenvoudig in uitvoering, maar ook wel best 'eigen'....)",118,166,"assessor03"
361,"C13","K18","2/09/2015 19:53",1,"C13",14,2,"4","abstractie is mooi",10,28,"assessor03"
362,"K26","C13","2/09/2015 19:54",1,"C13",20,4,"2","hoewel beide duidelijk geinspireerd door andere beelden, lijkt me b toch wat origineler....",68,90,"assessor03"
363,"A12","E22","2/09/2015 19:55",1,"A12",6,3,"19","blijft krachtig beeld en zo mooi abstract weergegeven wat er boven staat doorgekrast!",59,84,"assessor03"
364,"2920d4f4f2684f38b8167e1a99129821","d1fe7291ff309bfc52980e0f00714df3","2/09/2015 19:59",1,"2920d4f4f2684f38b8167e1a99129821",199,2,"3","materiaal, combinatie van beelden",9,211,"assessor03"
365,"I15","K19","2/09/2015 20:00",1,"K19",37,5,"4","rechts iets origineler",12,53,"assessor03"
366,"1b2bf88d0cf06c8dfb2d58e0b4579f35","K24","2/09/2015 20:02",1,"K24",53,5,"2","a combinatie beeld/ inhoud, b combinatie beelden onderling. Het gaat om het beeldende, dus b beter",34,89,"assessor03"
367,"K19","J7","2/09/2015 20:03",1,"J7",51,5,"4","originelere ideeen...denk ik",13,68,"assessor03"
368,"da10dd2f875c94b2f976147315a321cd","A6","2/09/2015 20:04",1,"da10dd2f875c94b2f976147315a321cd",15,3,"3","a zelf samengesteld, b maar 1 foto",15,33,"assessor03"
369,"E28","I3","2/09/2015 20:05",1,"I3",82,7,"6","heel moeilijk te vergelijken deze! Ook ander punt in proces.",22,110,"assessor03"
370,"0410ebd8e853f8b3f21bf103193dabb2","E24","2/09/2015 20:07",1,"0410ebd8e853f8b3f21bf103193dabb2",56,5,"4","lay out",8,68,"assessor03"
371,"B6","K11","2/09/2015 20:08",1,"B6",75,4,"4","",2,81,"assessor03"
372,"K2","K19","2/09/2015 20:09",1,"K19",6,3,"2","",2,10,"assessor03"
373,"A13","I3","2/09/2015 20:09",1,"I3",28,5,"5","lay out",5,38,"assessor03"
374,"I12b","F18","2/09/2015 20:10",1,"F18",15,3,"3","beter over nagedacht",10,28,"assessor03"
375,"K20","E5","2/09/2015 20:14",1,"E5",231,5,"4","",2,237,"assessor03"
376,"K22","E3","17/09/2015 9:43",1,"K22",27,4,"5","",1,33,"assessor03"
377,"482d7a26ee61f1a3c7a58a495e9f2b54","3649ba8db06d94c8b79911d940ba289c","2/09/2015 20:19",1,"3649ba8db06d94c8b79911d940ba289c",0,1,"6","",2,8,"assessor03"
378,"C8","E23","2/09/2015 20:20",1,"C8",85,6,"3","beide zijn net bezig met omzetten van inspiratie in beelden. a is daar net iets verder in denk ik.",39,127,"assessor03"
379,"E30","E1","2/09/2015 20:22",1,"E30",63,4,"5","zoeken naar beeld, materiaal, expressie bij een idee. B alleen sfeer",19,87,"assessor03"
380,"H2","C12","2/09/2015 20:23",1,"H2",10,3,"3","",2,15,"assessor03"
381,"J9","786709f6b21b9f098a1c6cbea7fdac08","2/09/2015 20:23",1,"786709f6b21b9f098a1c6cbea7fdac08",9,3,"4","origineler, krachtiger",7,20,"assessor03"
382,"ea230cb808b6557485b8dc7db1a0a86a","F12","2/09/2015 20:23",1,"ea230cb808b6557485b8dc7db1a0a86a",16,2,"4","mooi vormgegeven ideeen",9,29,"assessor03"
383,"C14","I18","2/09/2015 20:24",1,"C14",17,7,"4","alle twee mooi eigen beeld. a spreekt me net iets meer aan",17,38,"assessor03"
384,"A16","E27","2/09/2015 20:24",1,"E27",13,3,"3","combiatie van foto's bij b beter",12,28,"assessor03"
385,"D12","B14","2/09/2015 20:25",1,"D12",7,3,"3","expressiever",9,19,"assessor03"
386,"A12","F18","2/09/2015 20:25",1,"A12",11,4,"3","",2,16,"assessor03"
387,"C4","9125eb25d10dcb5fb57dfbdb59a1b74b","2/09/2015 20:26",1,"9125eb25d10dcb5fb57dfbdb59a1b74b",33,7,"3","alle twee super sterk. b net meer voorkeur. Maar heel moeilijk.",18,54,"assessor03"
388,"K24","J13","2/09/2015 20:27",1,"J13",21,3,"3","sfeer",3,27,"assessor03"
389,"d7f573c9a18444c1b18c4e62e4b5f9f6","E22","4/09/2015 12:42",1,"d7f573c9a18444c1b18c4e62e4b5f9f6",11,4,"3","beiden eigenlijk niet heel goed",21,35,"assessor11"
390,"D12","I18","4/09/2015 12:42",1,"I18",4,1,"4","Voorstelling en vormgeving zijn beide origineler - A is een kleurenproef",20,28,"assessor11"
391,"E4","C1","4/09/2015 12:43",1,"C1",21,4,"4","Moeilijk vergelijkbaar: A is grafisch en qua kleur beter",NA,NA,"assessor11"
392,"F3","cdfa1effe52bc3c01fde3e290f57085b","4/09/2015 12:44",1,"cdfa1effe52bc3c01fde3e290f57085b",3,1,"2","B is erg origineel qua vorm, lijn, kleur en compositie - visualisatie van technobodies is persoonlijk, gestileerd en origineel",46,51,"assessor11"
393,"29fe32912c306a55427d86d4a78dde8c","C15","4/09/2015 12:45",1,"C15",13,3,"3","De afbeeldingen zijn beide vergelijkbaar: de combinatie van licht-donker contrast is in B beter",22,38,"assessor11"
394,"d6fba3cf86ddfa7a43b68ae7ee134b2a","G1","4/09/2015 12:46",1,"d6fba3cf86ddfa7a43b68ae7ee134b2a",23,4,"2","A heeft een originelere kleur en contrast verdeling in de compositie",24,49,"assessor11"
395,"I2","2920d4f4f2684f38b8167e1a99129821","4/09/2015 12:46",1,"I2",11,4,"3","A heeft een meer persoonlijke (= originelere) wijze van stileren",16,30,"assessor11"
396,"ee7c0339be618ca65973144f3bb849ce","11932db57791df696a819ee36383b36f","4/09/2015 12:47",1,"ee7c0339be618ca65973144f3bb849ce",3,3,"2","A heeft experimenten gedaan met vormgeving en zoekt daarbij naar een eigen accent op lijn en vorm. B is meer natuurgetrouw (nagetekend met weinig eigen toevoeging)",38,43,"assessor11"
397,"94d9699732e50f271a89808b9575139b","K24","4/09/2015 12:47",1,"94d9699732e50f271a89808b9575139b",2,1,"3","Originele compositie, beeldende vaardigheid/originaliteit in kleur, voorstelling en contrast. ",26,31,"assessor11"
398,"I10","A7","4/09/2015 12:48",1,"I10",4,2,"3","A heeft een eigen stilering toegepast in het beeld met veel aandacht voor compositie",NA,NA,"assessor11"
399,"C9","201ff93bed1856e467a73afca839da06","4/09/2015 12:49",1,"C9",4,3,"3","De combinatie van afbeeldingen van A is origineel en legt nieuwe, originele verbanden. ",37,44,"assessor11"
400,"E5","J15","4/09/2015 12:50",1,"E5",19,3,"4","Beide afbeeldingen zijn niet heel sterk/origineel",NA,NA,"assessor11"
401,"J7","J11","4/09/2015 12:50",1,"J11",6,3,"3","B heeft een vervreemdend effect door de kleurverschuivingen in de lijnen: dat is origineler",17,26,"assessor11"
402,"F14","E27","4/09/2015 12:51",1,"E27",13,3,"2","B heeft een originelere combinatie van twee dezelfde soorten voorstellingen in heel verschillende contexten",37,52,"assessor11"
403,"E8","F7","4/09/2015 12:52",1,"E8",7,3,"2","Beide afbeeldingen gaan over vorm en tactiliteit, maar A is subtieler qua manier van verbeelden via tekenen",39,48,"assessor11"
404,"I3","F13","4/09/2015 12:53",1,"F13",38,4,"3","B past een persoonlijke stilering toe",NA,NA,"assessor11"
405,"G1","F12","4/09/2015 12:54",1,"F12",7,3,"3","B heeft variaties en experimenten met vorm, contrast, lijn in beeld gebracht, A is vooral gericht op kleur en kalligrafische vorm, daarin is wel een goede vlakverdeling aangebracht maar dat is toch minder qua persoonlijke en originele vormgeving dan B",61,71,"assessor11"
406,"J9","J5","4/09/2015 12:55",1,"J9",7,2,"3","A heeft een originele combinatie van voorstellingen: door de twee groepen van drie figuren ontstaat een samenhangend en dynamisch beeld. ",39,49,"assessor11"
407,"C12","F14","4/09/2015 12:56",1,"C12",2,1,"2","A heeft een originele, eigen vormgeving gemaakt: het beeld is vervreemdend, masker achtig qua voorstelling",22,26,"assessor11"
408,"e5a81896770776be23d598d49ed65f03","C9","4/09/2015 12:56",1,"e5a81896770776be23d598d49ed65f03",4,2,"2","A heeft een originelere combinatie van afbeeldingen met veel aandacht voor compositie, kleur, lijn, vlak etc. ",27,33,"assessor11"
409,"J9","e07e3b29c3f3ed23ea6d2d7db0e65cf8","4/09/2015 12:57",1,"e07e3b29c3f3ed23ea6d2d7db0e65cf8",26,5,"2","In B zitten meer originele beelden qua vormgeving: A neemt collages als uitgangspunt. Beide beelden zijn even sterk eigenlijk. ",37,65,"assessor11"
410,"E30","E6","4/09/2015 12:58",1,"E30",4,3,"3","Afbeelding A laat stilering zien en is experimenteel van karakter. Je ziet dat er op het totaalblad over de compositie nagedacht is. B is origineel qua elementen, maar het totaal is niet origineel juist clichematig",59,66,"assessor11"
411,"E20","5d8bc2a5aaf9041890e730414a34b0af","4/09/2015 12:59",1,"5d8bc2a5aaf9041890e730414a34b0af",4,1,"2","B is expressief en gedurfd: door de lagen en uitgeveegde kleuren ontstaat een persoonlijke stilering/expressie",27,33,"assessor11"
412,"E8","K18","4/09/2015 13:00",1,"K18",21,3,"2","B is gedeeltelijk van een bestaande afbeelding overgetekend/nagemaakt maar datgene wat erop te zien is, is met aandacht voor vorm, kleur, textuur en compositie gemaakt - de originaliteit zit in deze visuele detaillering niet in het totaal dat is niet zo origineel",56,79,"assessor11"
413,"482d7a26ee61f1a3c7a58a495e9f2b54","f48ab1373fce7ff56fa9d6dc6eb9787b","4/09/2015 13:01",1,"f48ab1373fce7ff56fa9d6dc6eb9787b",3,1,"3","Afbeelding B is eigen, bevat geabstraheerde voorstellingen en laat inzicht in compositie, kleur, lijn en vorm zien: het beeld is veel origineler dan A",44,50,"assessor11"
414,"I2","A16","4/09/2015 13:02",1,"A16",15,4,"3","B laat een originele combinatie van perspectieven zien: vooraanzicht en bovenaanzicht. De combinatie van beelden is origineler dan bij A (die is wat meer hetzelfde, maar is wel origineel qua vormgeving). ",51,69,"assessor11"
415,"d1fe7291ff309bfc52980e0f00714df3","K17","4/09/2015 13:03",1,"d1fe7291ff309bfc52980e0f00714df3",6,1,"2","Origineel idee van een persoon met een doos over het hoofd waarop een gezicht afgebeeld is: dus origineel qua voorstelling en ook origineel qua gestileerde vormgeving",44,52,"assessor11"
416,"A9","201ff93bed1856e467a73afca839da06","4/09/2015 13:04",1,"201ff93bed1856e467a73afca839da06",23,5,"2","B is origineler qua beeld",NA,NA,"assessor11"
417,"E24","I19","4/09/2015 13:05",1,"I19",17,4,"3","Hoewel summier qua vormgeving, zit er een goed compositie en originele vormgeving in B",19,39,"assessor11"
418,"5eee9f0e60b7c6c9717def7892237bb6","da10dd2f875c94b2f976147315a321cd","4/09/2015 13:06",1,"da10dd2f875c94b2f976147315a321cd",17,3,"3","B bevat een meer originele combinatie van voorstelling en kleur",NA,NA,"assessor11"
419,"ee7c0339be618ca65973144f3bb849ce","f55ee19306d07ae1f8a3a61c6053dd65","4/09/2015 13:06",1,"ee7c0339be618ca65973144f3bb849ce",6,2,"2","A bevat meer experimenten in vormgeving en stilering en is origineler qua vorm/lijn",17,25,"assessor11"
420,"A14","K22","4/09/2015 13:07",1,"A14",4,2,"3","A heeft een uitgekiende vormgeving qua kleur en compositie: daardoor ontstaat een origineler beeld dan de foto's bij B",32,39,"assessor11"
421,"d6fba3cf86ddfa7a43b68ae7ee134b2a","J15","4/09/2015 13:08",1,"d6fba3cf86ddfa7a43b68ae7ee134b2a",6,2,"3","A heeft een originele combinatie van kleuren, contrasten en compositie",15,24,"assessor11"
422,"H12","E21","4/09/2015 13:08",1,"H12",2,1,"2","A heeft een originele compositie",NA,NA,"assessor11"
423,"F13","E6","4/09/2015 13:08",1,"F13",3,1,"3","A is minder clichematig als B en bevat een persoonlijke manier van tekenen waarin de beweging van de dans/film origineeel gevisualiseerd is. ",37,43,"assessor11"
424,"D5","F7","4/09/2015 13:11",1,"F7",147,4,"6","Beide afbeeldingen laten een origineel perspectief zien: door de kanteling van de beelden, de voor- en achtergrond en de compositie ontstaat vervreemding. De vervreemding is bij B iets groter door het beeld dwars op te plakken. Dat is origineler",46,199,"assessor11"
425,"C12","E1","4/09/2015 13:13",1,"E1",11,4,"3","A is origineler qua vormgeving/ontwerp",NA,NA,"assessor11"
426,"F7","I11","4/09/2015 13:14",1,"F7",6,1,"1","A is origineler vanwege de kanteling van het beeld, dat levert een vervreemdend beeld op. ",19,26,"assessor11"
427,"C15","K27","4/09/2015 13:15",1,"C15",26,4,"2","A is op een meer originele manier vormgegeven en heeft een meer originele voorstelling, B is goed gestileerd en laat wel een vaardigheid zien in tekenen. ",35,63,"assessor11"
428,"I19","K22","4/09/2015 13:15",1,"I19",8,2,"2","A is summier qua voorstelling maar is gestileerd qua vorm/ lijn",15,25,"assessor11"
429,"C18","e07e3b29c3f3ed23ea6d2d7db0e65cf8","4/09/2015 13:16",1,"C18",10,3,"4","A is meer gestileerd en geabstraheerd, B is concreter en letterlijker. A heeft meer aandacht voor kleur en lijn/textuur",NA,NA,"assessor11"
430,"I19","C9","4/09/2015 13:17",1,"C9",22,4,"2","B is een meer origineler visualisatie van het thema, door de onverwachte combinaties van voorstellingen",34,58,"assessor11"
431,"A16","201ff93bed1856e467a73afca839da06","4/09/2015 13:18",1,"A16",6,1,"2","A laat verschillende perspectieven zien: vooraanzicht en bovenaanzicht, hierdoor ontstaat een originele combinatie en de voorstellingen zijn verrassend",46,54,"assessor11"
432,"G3","K23","4/09/2015 13:19",1,"G3",14,3,"5","A heeft meer eigen inbreng in de vormgeving, voorstelling, kleur en compositie. B heeft afbeeldingen gekopieerd. Beide zijn ongeveer even sterk.",28,47,"assessor11"
433,"I3","94d9699732e50f271a89808b9575139b","4/09/2015 13:20",1,"94d9699732e50f271a89808b9575139b",1,1,"2","B heeft een originele combinatie van compositie, voorstelling, kleur en is origineler qua totaalbeeld (leegte is verrassend evenals de vorm die aan de maan hangt)",36,39,"assessor11"
434,"C13","965443f7a817be579b5cd51aebfd15f7","4/09/2015 13:20",1,"C13",4,4,"3","A is origineler qua vormgeving en contrast. B is meer overgenomen van bestaande afbeeldingen. De combinaties zijn wel goed gekozen. ",29,36,"assessor11"
435,"J5","H3","4/09/2015 13:21",1,"J5",25,4,"2","A is meer geabstraheerd en in de kleuren, lijnen en de vervaging zit meer eigen accent/originaliteit dan bij B. ",25,52,"assessor11"
436,"J11","K11","4/09/2015 13:22",1,"J11",2,1,"2","A heeft een verrassend effect door de gekleurde lijnen er ontstaat een dynamisch beeld. ",25,29,"assessor11"
437,"d1fe7291ff309bfc52980e0f00714df3","965443f7a817be579b5cd51aebfd15f7","4/09/2015 13:47",1,"d1fe7291ff309bfc52980e0f00714df3",5,3,"4","A is origineler qua vormgeving en voorstelling: B is origineel qua combinatie van contexten, maar A heeft een meer persoonlijke manier van stileren in het beeld",31,40,"assessor11"
