Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
020-320-540-314-288,"Validation, reliability, and standard setting in the GTPA",2022-05-24,2022,book chapter,Professionalizing Teacher Education,,Routledge,,Claire Wyatt-Smith; Lenore Adie; Michele Haynes; Chantelle Day,"This chapter presents the rationale for two judgment methodologies used to establish judgment consistency, reliability of the instrument, and standard setting in the 2017 Graduate Teacher Performance Assessment (GTPA) trial. The dominant profile judgment method and the method of pairwise comparison were chosen and applied in two distinct studies undertaken in the one-year trial. The latter method was used for comparative judgment of GTPA samples to identify exemplar performances that illustrate a range of quality and more specifically, the overall standard at the passing or threshold level. The research team undertook an inquiry into what each of the two methods could contribute to standard setting. A related inquiry concerned strategies for building evaluative expertise with the aim of improving the reliability of judgments in validation and standard-setting processes. The chapter aims to identify and discuss the challenges that the research team met in establishing an acceptable standard for entrance to teaching.",,,109,129,Reliability (semiconductor); Pairwise comparison; Consistency (knowledge bases); Quality (philosophy); Computer science; Psychology; Graduate students; Management science; Applied psychology; Engineering; Artificial intelligence; Pedagogy; Power (physics); Physics; Quantum mechanics; Philosophy; Epistemology,,,,,,http://dx.doi.org/10.4324/9780429318504-8,,10.4324/9780429318504-8,,,0,,0,false,,
020-565-035-755-854,On the Bias and Stability of the Results of Comparative Judgment,2022-03-01,2022,journal article,Frontiers in Education,2504284x,Frontiers Media SA,,Elise A. V. Crompvoets; Anton A. Béguin; Klaas Sijtsma,"<jats:p>Comparative judgment is a method that allows measurement of a competence by comparison of items with other items. In educational measurement, where comparative judgment is becoming an increasingly popular assessment method, items are mostly students’ responses to an assignment or an examination. For assessments using comparative judgment, the Scale Separation Reliability (SSR) is used to estimate the reliability of the measurement. Previous research has shown that the SSR may overestimate reliability when the pairs to be compared are selected with certain adaptive algorithms, when raters use different underlying models/truths, or when the true variance of the item parameters is below one. This research investigated bias and stability of the components of the SSR in relation to the number of comparisons per item to increase understanding of the SSR. We showed that many comparisons are required to obtain an accurate estimate of the item variance, but that the SSR can be useful even when the variance of the items is overestimated. Lastly, we recommend adjusting the general guideline for the required number of comparisons per item to 41 comparisons per item. This recommendation partly depends on the number of items and the true variance in our simulation study and needs further investigation.</jats:p>",6,,,,Variance (accounting); Reliability (semiconductor); Statistics; Competence (human resources); Stability (learning theory); Computer science; Psychology; Econometrics; Mathematics; Social psychology; Machine learning; Power (physics); Physics; Accounting; Quantum mechanics; Business,,,,,https://www.frontiersin.org/articles/10.3389/feduc.2021.788202/pdf https://doi.org/10.3389/feduc.2021.788202 https://research.tilburguniversity.edu/files/60484741/Crompvoets_et_al_2022_.pdf https://research.tilburguniversity.edu/en/publications/c19dacbf-bae9-4761-92ad-3c3fc463c35f https://pure.uvt.nl/ws/files/60484741/Crompvoets_et_al_2022_.pdf https://osf.io/kq4jh/download https://osf.io/kq4jh/ https://psyarxiv.com/kq4jh/download https://psyarxiv.com/kq4jh/,http://dx.doi.org/10.3389/feduc.2021.788202,,10.3389/feduc.2021.788202,,,0,001-098-070-996-486; 007-467-244-739-842; 015-035-210-409-280; 020-492-282-615-504; 022-886-709-886-069; 025-009-658-071-875; 026-506-897-501-75X; 035-966-099-589-64X; 042-262-850-601-237; 045-341-366-262-32X; 048-151-229-726-003; 081-370-959-105-221; 093-041-634-863-567; 104-108-572-407-187; 123-212-204-814-685; 126-454-221-798-016; 127-659-660-814-933; 148-673-033-661-432; 157-189-775-028-646,1,true,cc-by,gold
020-998-578-002-73X,"Generalized Bradley-Terry Models for Score Estimation from Paired
  Comparisons",2023-08-16,2023,preprint,arXiv (Cornell University),,,,Julien Fageot; Sadegh Farhadkhani; Lê Nguyên Hoang; Oscar Villemaud,"Many applications, e.g. in content recommendation, sports, or recruitment, leverage the comparisons of alternatives to score those alternatives. The classical Bradley-Terry model and its variants have been widely used to do so. The historical model considers binary comparisons (victory or defeat) between alternatives, while more recent developments allow finer comparisons to be taken into account. In this article, we introduce a probabilistic model encompassing a broad variety of paired comparisons that can take discrete or continuous values. We do so by considering a well-behaved subset of the exponential family, which we call the family of generalized Bradley-Terry (GBT) models, as it includes the classical Bradley-Terry model and many of its variants. Remarkably, we prove that all GBT models are guaranteed to yield a strictly convex negative log-likelihood. Moreover, assuming a Gaussian prior on alternatives' scores, we prove that the maximum a posteriori (MAP) of GBT models, whose existence, uniqueness and fast computation are thus guaranteed, varies monotonically with respect to comparisons (the more A beats B, the better the score of A) and is Lipschitz-resilient with respect to each new comparison (a single new comparison can only have a bounded effect on all the estimated scores). These desirable properties make GBT models appealing for practical use. We illustrate some features of GBT models on simulations.",,,,,Leverage (statistics); Bounded function; Uniqueness; Exponential family; Probabilistic logic; Monotonic function; Mathematics; Econometrics; Computer science; Mathematical economics; Applied mathematics; Mathematical optimization; Statistics; Mathematical analysis,,,,,https://arxiv.org/abs/2308.08644,http://dx.doi.org/10.48550/arxiv.2308.08644,,10.48550/arxiv.2308.08644,,,0,,0,true,,green
022-011-920-394-930,Innovative language pedagogy report,2021-03-22,2021,book,,,Research-publishing.net,,,"<jats:p>The Innovative Language Pedagogy Report presents new and emerging;                         approaches to language teaching, learning, and assessment in school, further;                         education, and higher education settings. Researchers and practitioners;                         provide 22 research-informed, short articles on their chosen pedagogy, with;                         examples and resources. The report is jargon-free, written in a readable;                         format, and covers, among others, gamification, open badges, comparative;                         judgement, translanguaging, translation, learning without a teacher, and;                         dialogue facilitation. It also includes technologies such as chatbots,;                         augmented reality, automatic speech recognition, digital corpora, and;                         LMOOCs, as well as pedagogical innovations around virtual exchange, digital;                         storytelling, technology-facilitated oral homework, and TeachMeets.</jats:p>",,,,,Jargon; Digital storytelling; Computer science; Pedagogy; Narrative; Judgement; Storytelling; Language acquisition; Linguistics; Psychology; Multimedia; Mathematics education; Political science; Philosophy; Law,,,,,,http://dx.doi.org/10.14705/rpnet.2021.50.9782490057863,,10.14705/rpnet.2021.50.9782490057863,,,0,,0,false,,
022-482-714-071-349,The Impact Of Cross-Linguistic Orthographic Similarity In Different Learning Contexts: Incidental Vs Intentional Learning,2024-03-04,2024,preprint,,,Center for Open Science,,Marie-Josee Bisson,"<p>Some foreign language words are much easier to learn than others. This can be due to a variety of factors such as concreteness and word type.  Cross-linguistic orthographic similarity, whether the combination and position of letters within words conform to native language spelling rules, also plays an important role. Very little is known however, about the effect of cross-linguistic orthographic similarity in different learning contexts. The current research therefore examines this with participants learning Welsh (Study 1) and Polish (Study 2) words through incidental and intentional learning tasks before completing meaning recall and translation recognition tasks. Cross-linguistic orthographic similarity was measured using the comparative judgement approach. Using mixed-effects models, both studies revealed robust effects of both cross-linguistic orthographic similarity and learning contexts. Crucially, the data showed very little learning for cross-linguistically dissimilar items especially in the incidental learning context with implications for teaching and learning.</p>",,,,,,,,,,,http://dx.doi.org/10.31219/osf.io/2mk7n,,10.31219/osf.io/2mk7n,,,0,,0,false,,
023-058-470-108-750,A method for detection of inattentional feature blindness.,2021-03-02,2021,journal article,"Attention, perception & psychophysics",1943393x; 19433921,Springer Science and Business Media LLC,United States,Aire Raidvee; Mai Toom; Jüri Allik,"In ensemble displays, two principal factors determine the precision with which the mean value of some perceptual attribute, such as size and orientation, can be discriminated: inefficiency and representational noise of each element. Inefficiency is mainly caused by biased inference, or by inattentional (feature) blindness (i.e., some elements or their features are not processed). Here, we define inattentional feature blindness as an inability to perceive the value(s) of certain feature(s) of an object while the presence of the object itself may be registered. Separation of the effects of inattentional (feature) blindness and perceptual noise has escaped traditional analytic methods because of their trade-off effects on the slope of the psychometric discrimination function. Here, we propose a method that can separate the effects of inattentional feature blindness from that of the representational noise. The basic idea is to display a set of elements from which only one contains information relevant for solving the task, while all other elements are “dummies” carrying no useful information because they do not differ from the reference. If the single informative element goes unprocessed, the correct answer can only be given by a random guess. The guess rate can be modeled similarly to the lapse rate, traditionally represented by λ. As an illustration, we present evidence that the presence versus lack of inattentional feature blindness in orientation pooling depends on the feature types present in the display.",83,3,1282,1289,Artificial intelligence; Set (psychology); Pattern recognition; Perception; Inference; Object (philosophy); Computer science; Pooling; Feature (computer vision); Orientation (computer vision); Noise (video),Ensemble perception; Inattentional feature blindness; Lapsing rate; Representational noise,Attention; Blindness; Humans; Orientation; Visual Perception,,Eesti Teadusagentuur (MOBTP91),https://europepmc.org/article/MED/33655426 https://www.ncbi.nlm.nih.gov/pubmed/33655426 https://link.springer.com/article/10.3758/s13414-020-02234-5,http://dx.doi.org/10.3758/s13414-020-02234-5,33655426,10.3758/s13414-020-02234-5,3133573470,,0,000-405-390-557-969; 001-529-878-461-937; 003-198-583-089-698; 004-063-291-705-127; 005-589-187-502-728; 006-791-051-768-178; 010-629-061-233-301; 010-803-701-547-124; 011-249-351-947-371; 013-107-922-688-385; 018-640-215-452-274; 018-807-296-668-916; 019-129-400-834-889; 020-545-251-512-779; 020-807-167-419-368; 024-595-422-424-118; 028-183-827-153-760; 031-324-485-402-628; 031-495-429-097-178; 031-547-776-718-970; 032-224-200-485-406; 035-776-610-863-582; 041-142-702-847-240; 044-069-241-877-260; 044-576-839-282-073; 045-239-748-926-223; 048-766-933-202-837; 051-676-597-036-970; 052-382-568-670-975; 056-600-005-793-064; 057-472-267-307-954; 062-592-991-102-893; 067-631-252-449-755; 071-179-191-100-774; 078-479-099-650-852; 081-155-610-461-715; 083-405-990-852-057; 098-950-277-295-601; 109-402-746-487-551; 134-804-192-468-372; 135-357-773-691-016; 136-267-720-758-624; 156-626-439-310-315; 171-028-407-851-268,4,true,,bronze
023-235-861-663-342,Lagrangian Inference for Ranking Problems,2021-09-30,2021,preprint,arXiv (Cornell University),,,,Yue Liu; Ethan X. Fang; Junwei Lu,"We propose a novel combinatorial inference framework to conduct general uncertainty quantification in ranking problems. We consider the widely adopted Bradley-Terry-Luce (BTL) model, where each item is assigned a positive preference score that determines the Bernoulli distributions of pairwise comparisons' outcomes. Our proposed method aims to infer general ranking properties of the BTL model. The general ranking properties include the ""local"" properties such as if an item is preferred over another and the ""global"" properties such as if an item is among the top $K$-ranked items. We further generalize our inferential framework to multiple testing problems where we control the false discovery rate (FDR), and apply the method to infer the top-$K$ ranked items. We also derive the information-theoretic lower bound to justify the minimax optimality of the proposed method. We conduct extensive numerical studies using both synthetic and real datasets to back up our theory.",,,,,Ranking (information retrieval); Inference; Pairwise comparison; Minimax; Computer science; Machine learning; Preference; Artificial intelligence; Mathematics; Mathematical optimization; Statistics,,,,,https://arxiv.org/abs/2110.00151,http://dx.doi.org/10.48550/arxiv.2110.00151,,10.48550/arxiv.2110.00151,,,0,,0,true,,green
023-352-674-017-305,Identifying Terms and Conditions Important to Consumers using Crowdsourcing,2021-11-23,2021,preprint,arXiv: Human-Computer Interaction,,,,Xingyu Liu; Annabel Sun; Jason Hong,"Terms and conditions (T&Cs) are pervasive on the web and often contain important information for consumers, but are rarely read. Previous research has explored methods to surface alarming privacy policies using manual labelers, natural language processing, and deep learning techniques. However, this prior work used pre-determined categories for annotations, and did not investigate what consumers really deem as important from their perspective. In this paper, we instead combine crowdsourcing with an open definition of ""what is important"" in T&Cs. We present a workflow consisting of pairwise comparisons, agreement validation, and Bradley-Terry rank modeling, to effectively establish rankings of T&C statements from non-expert crowdworkers on this open definition, and further analyzed consumers' preferences. We applied this workflow to 1,551 T&C statements from 27 e-commerce websites, contributed by 3,462 unique crowd workers doing 203,068 pairwise comparisons, and conducted thematic and readability analysis on the statements considered as important/unimportant. We found that consumers especially cared about policies related to after-sales and money, and tended to regard harder-to-understand statements as more important. We also present machine learning models to identify T&C clauses that consumers considered important, achieving at best a 92.7% balanced accuracy, 91.6% recall, and 89.2% precision. We foresee using our workflow and model to efficiently and reliably highlight important T&Cs on websites at a large scale, improving consumers' awareness",,,,,Rank (computer programming); Privacy policy; Deep learning; Artificial intelligence; Workflow; Pairwise comparison; Data science; Readability; Computer science; Crowdsourcing; Scale (social sciences),,,,,https://arxiv.org/pdf/2111.12182 https://arxiv.org/abs/2111.12182 http://export.arxiv.org/abs/2111.12182 http://arxiv-export-lb.library.cornell.edu/abs/2111.12182 https://dblp.uni-trier.de/db/journals/corr/corr2111.html#abs-2111-12182,https://arxiv.org/abs/2111.12182,,,3215615937,,0,002-120-146-278-355; 004-241-113-635-09X; 006-101-714-460-131; 015-113-238-015-110; 018-269-445-638-29X; 022-370-734-302-195; 031-077-669-014-667; 032-011-705-884-825; 039-248-167-107-454; 044-654-043-485-124; 047-238-370-528-992; 050-966-669-826-904; 058-400-973-828-144; 058-960-804-221-136; 059-009-792-404-590; 061-740-509-480-921; 063-401-015-839-419; 063-709-976-759-769; 064-520-075-914-183; 066-116-391-314-583; 069-712-206-090-830; 074-307-907-814-119; 081-370-959-105-221; 091-167-039-403-161; 093-151-007-792-250; 093-708-236-531-324; 095-891-419-200-57X; 104-512-929-235-758; 110-817-863-033-997; 129-216-727-016-961; 147-296-117-460-534; 148-104-544-874-085; 168-067-760-130-203; 172-973-133-298-655,0,true,,unknown
023-779-569-590-698,"Voting Lotteries, Compulsory Voting and Negative Freedom",2024-01-25,2024,journal article,The Journal of Ethics,13824554; 15728609,Springer Science and Business Media LLC,Netherlands,Alexandru Volacu,,,,,,Voting; Bullet voting; Disapproval voting; Cardinal voting systems; Political science; Anti-plurality voting; Instant-runoff voting; Economics; Law and economics; Positive economics; Law; Politics,,,,"Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii",,http://dx.doi.org/10.1007/s10892-024-09471-y,,10.1007/s10892-024-09471-y,,,0,008-184-815-131-627; 009-817-908-152-703; 010-360-431-273-361; 011-075-022-866-813; 013-111-402-524-952; 016-729-604-929-054; 020-749-125-377-945; 022-656-181-948-415; 023-064-341-321-978; 025-351-243-680-47X; 026-237-210-802-554; 034-708-711-733-292; 039-628-687-871-928; 040-035-497-195-131; 049-780-201-940-276; 051-045-630-118-45X; 053-707-533-074-312; 056-764-762-930-952; 063-050-888-053-659; 064-191-136-943-363; 066-458-472-651-952; 066-682-795-719-540; 067-437-435-206-335; 068-839-797-212-722; 070-660-686-276-514; 071-660-153-444-470; 071-993-342-581-760; 073-931-568-722-967; 077-700-752-283-607; 079-671-833-031-092; 081-018-693-051-728; 083-563-046-151-032; 084-959-083-945-98X; 095-418-032-519-064; 099-810-542-045-120; 103-721-923-086-784; 113-188-178-082-15X; 114-193-529-330-059; 119-048-703-823-192; 129-244-842-739-645; 129-902-170-841-349; 141-785-838-679-48X; 142-230-306-678-07X; 146-107-897-088-443; 148-753-919-143-722; 156-808-035-039-167; 157-438-029-841-074; 167-665-143-636-528; 171-340-621-179-691; 173-701-370-785-091; 185-339-870-945-561; 194-825-268-013-518; 197-520-079-332-597,0,false,,
024-178-122-855-20X,"LOW STAKES, HIGH REWARD: DEVELOPMENT AND EVALUATION OF AN ONLINE COMPARATIVE JUDGEMENT MARKING SYSTEM",,2024,conference proceedings article,INTED Proceedings,23401079,IATED,,Terry Gleave; Sean Goodman; Susan Canning; Denise Prescott,,,,,,,,,,,,http://dx.doi.org/10.21125/inted.2024.1541,,10.21125/inted.2024.1541,,,0,,0,false,,
024-349-602-593-011,Leveraging Human Feedback to Scale Educational Datasets: Combining Crowdworkers and Comparative Judgement,2023-07-20,2023,conference proceedings article,Proceedings of the Tenth ACM Conference on Learning @ Scale,,ACM,,Owen Henkel; Libby Hills,"Machine Learning models have many potentially beneficial applications in education settings, but a key barrier to their development is securing enough high-quality, labelled data to train these models. This process has traditionally relied on highly skilled raters using complex, multi-class rubrics, which made labelling expensive and difficult to scale. A more scalable approach would be to use non-expert crowdworkers to evaluate student work, but maintaining high levels of accuracy and inter-rater reliability when using non-expert workers can be challenging. This paper reports on two experiments in which non-expert crowdworkers hired to evaluate (i.e., score) student work and were randomly assigned to one of two conditions: the control, where they were asked to assign a rubrics based score (i.e., a categorical judgement), or the treatment, where they were shown the same student answers, but were asked to decide which of two candidate answers was better (i.e., a comparative/preference-based judgement). We found that using comparative judgement substantially improved inter-rater reliability on both tasks. These results are in-line with well-established literature on the benefits of comparative judgement in the field of educational assessment, as well as with recent trends in artificial intelligence research, where comparative judgement is becoming the preferred method for providing human feedback on model outputs. These results are novel and important in demonstrating the effects of using the combination of comparative judgement and crowdworkers to evaluate educational data",,,,,Judgement; Rubric; Computer science; Categorical variable; Reliability (semiconductor); Scale (ratio); Artificial intelligence; Field (mathematics); Machine learning; Data science; Mathematics education; Psychology; Mathematics; Power (physics); Physics; Political science; Pure mathematics; Law; Quantum mechanics,,,,,https://arxiv.org/pdf/2305.12894 https://arxiv.org/abs/2305.12894,http://dx.doi.org/10.1145/3573051.3596198,,10.1145/3573051.3596198,,,0,002-865-363-896-076; 015-776-457-261-327; 017-442-768-015-038; 022-486-381-437-418; 031-056-855-501-837; 032-061-006-970-033; 037-538-643-802-611; 046-885-708-774-897; 054-487-078-903-100; 102-955-514-174-383; 118-684-649-570-075; 127-321-514-059-281,0,true,,green
024-593-640-147-754,Using Adaptive Comparative Judgment in Writing Assessment: An Investigation of Reliability Among Interdisciplinary Evaluators,2022-05-27,2022,journal article,Journal of Technology Studies,15419258; 10716084,Virginia Tech Libraries,,Sweta Baniya; Nathan Mentzer; Scott R. Bartholomew; Amelia Chesley; Cameron Moon; Derek Sherman,"<jats:p>Adaptive Comparative Judgment (ACJ) is an assessment method that facilitates;             holistic, flexible judgments of student work in place of more quantitative or;             rubric-based methods. This method “requires little training, and has proved very popular;             with assessors and teachers in several subjects, and in several countries” (Pollitt;             2012, p. 281). This research explores ACJ as a holistic, flexible, interdisciplinary;             assessment and research tool in the context of an integrated program that combines;             Design, English Composition, and Communications courses. All technology students at;             Polytechnic Institute at Purdue University are required to take each of these three core;             courses. Considering the interdisciplinary nature of the program’s curriculum, this;             research first explored whether three judges from differing backgrounds could reach an;             acceptable level of reliability in assessment using only ACJ, without the prerequisites;             of similar disciplinary backgrounds or significant assessment experience, and without;             extensive negotiation or other calibration efforts. After establishing acceptable;             reliability among interdisciplinary judges, analysis was also conducted to investigate;             differences in student learning between integrated (i.e., interdisciplinary) and;             non-integrated learning environments. These results suggest evaluators from various;             backgrounds can establish acceptable levels of reliability using ACJ as an alternative;             assessment tool to more traditional measures of student learning. This research also;             suggests technology students in the integrated/interdisciplinary environment may have;             demonstrated higher learning gains than their peers and that further research should;             control for student differences to add confidence to these findings.</jats:p>",45,1,24,35,Design thinking; Reliability engineering; Writing assessment; Composition (language); Computer science; Reliability (statistics),,,,,https://scholarsarchive.byu.edu/facpub/5546/,http://dx.doi.org/10.21061/jots.v45i1.a.3,,10.21061/jots.v45i1.a.3,3035785257,,0,,5,true,,gold
024-639-983-501-701,Digitalization and Uncertainty in the University: Coherence and Collegiality Through a Metacurriculum,2022-07-21,2022,journal article,Postdigital Science and Education,2524485x; 25244868,Springer Science and Business Media LLC,,Mark William Johnson; Elena A. Suvorova; Alina A. Karelina,"<jats:title>Abstract</jats:title><jats:p>Recent initiatives to promote ‘digitalization’ in education exhorting increased digital literacy and ‘computational thinking’ have invited implementation research methods to transform curricula, teaching, and learning. While conceived as a movement from the present of education to an imagined future where envisaged curricula embrace data-oriented and computational practices across subjects, we ask: whose present? Whose future? We revisit the concept of a metacurriculum (first conceived in the 1990s) as a way of addressing this question, while not avoiding the challenges inherent in the adaptation of education to an increasingly complex postdigital environment. We argue that the principal challenge facing institutional and individual adaptation is increasing environmental uncertainty produced by technology, not deficiency in individual skills. Using the uncertainty concept, we present a practical co-designed and dialogical approach supporting the student and teacher journeys towards the transdisciplinary opportunities opened out by technology, based on a cybernetic model of intersubjectivity. We discuss the explanatory power of uncertainty in this context, focusing on the ways it can encourage dialogue, collegiality, and experimentation. Evidence for this is presented in a case study from a Russian University Business School where a large group of teachers co-designed and delivered a dialogical module on digitalization and interdisciplinarity over a period of 4 years—a collaboration ended by recent geopolitical events. In analyzing data from one of the central activities of this course, we focus on the teacher collegiality and the students’ mechanisms of selection in navigating the transdisciplinary space, and how these mechanisms may provide deeper insight into the dialogical underpinnings of education.; </jats:p>",4,3,772,792,Dialogical self; Collegiality; Curriculum; Sociology; Context (archaeology); Pedagogy; Teacher education; Educational technology; Sociology of Education; Engineering ethics; Higher education; Mathematics education; Psychology; Political science; Engineering; Social psychology; Paleontology; Law; Biology,,,,,https://link.springer.com/content/pdf/10.1007/s42438-022-00324-1.pdf https://doi.org/10.1007/s42438-022-00324-1,http://dx.doi.org/10.1007/s42438-022-00324-1,,10.1007/s42438-022-00324-1,,,0,008-534-636-628-467; 035-357-782-975-701; 036-536-639-503-306; 048-091-210-665-560; 048-531-718-226-995; 051-478-263-929-43X; 061-909-564-104-217; 079-480-184-867-487; 090-405-331-616-855; 093-181-444-325-973; 113-481-469-021-915; 136-782-558-871-421; 140-961-708-021-034; 145-987-538-567-524; 146-430-617-222-565; 149-023-817-781-901; 149-802-951-156-464; 157-700-297-714-953; 187-816-517-356-223; 187-968-670-739-290,3,true,cc-by,hybrid
024-748-470-455-335,Comparative Judgement Modeling to Map Forced Marriage at Local Levels,2022-12-02,2022,preprint,arXiv (Cornell University),,,,R. G. Seymour; A. Nyarko-Agyei; H. R. McCabe; K. Severn; T. Kypraios; D. Sirl; A. Taylor,"Forcing someone into marriage against their will is a violation of their human rights. In 2021, the county of Nottinghamshire, UK, launched a strategy to tackle forced marriage and violence against women and girls. However, accessing information about where victims are located in the county could compromise their safety, so it is not possible to develop interventions for different areas of the county. Comparative judgement studies offer a way to map the risk of human rights abuses without collecting data that could compromise victim safety. Current methods require studies to have a large number of participants, so we develop a comparative judgement model that provides a more flexible spatial modelling structure and a mechanism to schedule comparisons more effectively. The methods reduce the data collection burden on participants and make a comparative judgement study feasible with a small number of participants. Underpinning these methods is a latent variable representation that improves on the scalability of previous comparative judgement models. We use these methods to map the risk of forced marriage across Nottinghamshire thereby supporting the county's strategy for tackling violence against women and girls.",,,,,Judgement; Compromise; Underpinning; Schedule; Psychology; Computer science; Political science; Law; Engineering; Civil engineering; Operating system,,,,,https://arxiv.org/abs/2212.01202,http://dx.doi.org/10.48550/arxiv.2212.01202,,10.48550/arxiv.2212.01202,,,0,,0,true,,green
024-969-681-495-248,When photos backfire: Truthiness and falsiness effects in comparative judgments,,2021,journal article,Journal of Experimental Social Psychology,00221031; 10960465,Elsevier BV,United States,Lynn Zhang; Eryn J. Newman; Norbert Schwarz,,92,,104054,,Psychology; Subject (grammar); Referent; Fluency; Sentence; Processing fluency; Contrast (statistics); Social psychology,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0022103120303942,http://dx.doi.org/10.1016/j.jesp.2020.104054,,10.1016/j.jesp.2020.104054,3089380371,,0,002-221-734-567-105; 004-325-071-035-747; 005-521-831-294-077; 010-549-304-372-139; 010-701-925-180-491; 011-115-817-618-243; 012-841-071-082-464; 013-380-732-067-294; 014-064-851-269-851; 015-300-819-613-040; 016-426-522-092-686; 018-427-665-949-410; 021-930-032-729-449; 022-940-056-786-160; 023-499-771-612-794; 024-227-211-762-089; 026-840-856-114-837; 032-049-177-406-929; 033-789-099-087-888; 047-366-800-969-509; 054-839-977-258-826; 065-461-483-604-327; 065-515-259-220-055; 072-379-118-606-86X; 088-215-847-433-17X; 089-989-447-467-130; 090-023-370-872-145; 090-695-515-714-706; 094-724-259-979-136; 097-223-843-316-36X; 098-578-934-179-785; 100-316-393-966-726; 100-457-903-857-810; 119-647-878-140-945; 122-778-268-515-402; 148-466-217-179-980; 158-154-324-424-355; 172-748-526-717-047; 183-550-943-911-487; 189-768-150-908-958,4,false,,
025-272-418-053-967,What Makes Law Coercive When it Is Coercive,,2021,journal article,Archiv für Rechts- und Sozialphilosophie,00012343; 23635606,Wissenschaftliche Verlagsgesellschaft mbH,Germany,Lucas Miotto,"Most legal and political philosophers agree that typical legal systems are coercive. But there is no extant account of what typically makes typical legal systems coercive when they are coercive. This paper presents such an account and compares it with four alternative views. Towards the end I discuss the proposed account’s payoffs. Among other things, I show how it can help us explain what I call ‘comparative judgements’ about coercive legal systems (judgements such as ‘Legal system a is more coercive than legal system b’) and how it can help the development of social scientific inquiries into the coerciveness of our legal systems.",107,2,235,250,Political science; Extant taxon; Law and economics; Politics,,,,,https://elibrary.verlagoesterreich.at/article/10.25162/arsp-2021-0013 https://www.narcis.nl/publication/RecordID/oai%3Acris.maastrichtuniversity.nl%3Apublications%2Fabec9758-9ee3-45e8-a52f-66dbf6a7c1a5 https://cris.maastrichtuniversity.nl/en/publications/what-makes-law-coercive-when-it-is-coercive,http://dx.doi.org/10.25162/arsp-2021-0013,,10.25162/arsp-2021-0013,3182022424,,0,,2,true,,green
025-420-014-690-46X,Take Nothing for Granted: Downward Social Comparison and Counterfactual Thinking Increase Adolescents' State Gratitude for the Little Things in Life,2021-03-25,2021,journal article,Journal of Happiness Studies,13894978; 15737780,Springer Science and Business Media LLC,Netherlands,Elena Gabriela Nicuță; Ticu Constantin,,22,8,3543,3570,,,,,,,http://dx.doi.org/10.1007/s10902-021-00382-5,,10.1007/s10902-021-00382-5,,,0,000-431-789-451-604; 000-879-121-608-785; 000-934-263-826-496; 003-111-035-592-589; 003-871-820-986-710; 004-569-538-100-014; 004-786-199-308-363; 005-064-398-881-471; 014-135-608-640-580; 015-605-437-100-749; 017-573-711-485-880; 018-261-032-145-247; 019-765-437-678-506; 021-457-065-632-714; 023-288-914-618-377; 026-356-285-697-48X; 027-095-674-691-747; 030-083-160-445-40X; 032-049-177-406-929; 034-201-594-248-120; 034-314-212-828-586; 034-332-007-441-517; 034-736-994-010-809; 035-344-905-266-604; 035-550-214-787-643; 036-780-314-286-416; 040-706-960-873-622; 041-609-886-847-099; 042-105-825-447-785; 042-489-231-019-236; 042-772-064-503-226; 042-824-798-079-673; 043-135-942-475-738; 045-132-384-862-264; 046-738-379-684-398; 048-504-754-030-945; 049-975-266-067-818; 050-291-970-858-048; 050-553-552-923-377; 051-299-719-707-250; 052-987-900-949-508; 054-911-900-763-553; 056-115-464-979-029; 057-455-942-793-649; 060-351-252-759-525; 060-594-470-359-69X; 061-430-800-168-622; 061-845-196-202-920; 061-923-350-710-44X; 062-006-069-451-552; 062-752-440-108-113; 063-282-146-247-529; 065-671-000-434-200; 066-134-750-021-993; 067-118-508-511-376; 067-234-066-744-495; 069-782-847-210-437; 070-173-391-803-606; 073-206-508-628-184; 074-970-679-519-919; 078-360-282-929-773; 080-101-068-115-037; 082-006-859-974-337; 083-296-528-526-905; 083-681-183-146-368; 084-507-297-495-411; 086-766-684-700-71X; 089-298-837-389-569; 093-895-479-543-414; 096-214-223-378-18X; 097-526-778-678-134; 105-279-219-660-918; 111-969-524-673-606; 112-184-186-111-243; 112-430-416-012-832; 113-398-442-111-796; 118-011-271-940-874; 129-703-492-918-474; 134-413-976-668-075; 138-721-815-811-440; 141-497-299-068-316; 161-791-837-854-967; 169-000-115-287-494; 170-800-981-851-021; 171-822-467-315-879; 180-070-337-062-073; 183-713-093-777-317,7,false,,
